Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Product (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Product (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U)
492,Swablu,,333,♀,557,99,0,6,8,31.1,30.0,30.0,,,,"2020-05-09 04:31","2020-05-09 04:31",5/8/2020,,,0,0,5,0,94.58%,223,97.48%,0,400,Altaria,,0,12.45%,3586,83.81%,150000,582,Altaria,,0
493,Swinub,,220,♂,538,99,12,15,6,73.3,27.0,27.0,,,,"2020-05-09 04:31","2020-05-09 04:31",5/8/2020,,,0,0,5,0,94.92%,209,91.48%,178000,206,Swinub,,0,79.05%,859,96.62%,0,125,Mamoswine,,0
494,Pineco,,204,♀,592,89,5,11,10,57.8,21.0,21.0,,,,"2020-05-09 04:31","2020-05-09 04:31",5/8/2020,,,0,0,1,0,59.76%,1649,95.44%,22500,71,Forretress,,0,60.90%,1602,90.20%,220000,294,Forretress,,0
495,Machop,,66,♂,917,129,6,8,11,55.6,28.0,28.0,,,,"2020-05-09 04:31","2020-05-09 04:31",5/7/2020,,,0,0,2,0,85.15%,609,96.86%,0,25,Machoke,,0,70.60%,1205,96.63%,29000,149,Machamp,,0
496,Swinub,,220,♀,602,106,15,14,11,88.9,29.0,29.0,,,,"2020-05-09 04:30","2020-05-09 04:30",5/8/2020,,,0,0,1,0,99.05%,40,95.52%,160000,190,Swinub,,0,99.12%,37,97.77%,160000,215,Piloswine,,0
497,Yanma,,193,♂,1062,115,13,11,3,60.0,27.0,27.0,,,,"2020-05-09 04:30","2020-05-09 04:30",5/8/2020,,,0,0,1,0,75.73%,995,89.07%,178000,206,Yanma,,0,9.62%,3702,94.18%,50000,144,Yanmega,,0
498,Totodile,,158,♂,833,100,5,10,0,33.3,30.0,30.0,,,,"2020-05-09 04:30","2020-05-09 04:30",5/8/2020,,,0,0,1,0,,,,,,,,,47.86%,2136,96.06%,94000,229,Feraligatr,,0
499,Shinx,,403,♀,370,71,15,15,11,91.1,15.0,15.0,,,,"2020-05-09 04:30","2020-05-09 04:30",5/8/2020,8.03kg,0.38m,0,0,1,1900,99.63%,16,97.76%,246400,293,Luxio,,0,56.04%,1801,96.14%,106400,219,Luxray,,0
500,Electabuzz,,125,♂,1301,105,11,15,13,86.7,20.0,20.0,Thunder Shock,Thunder Punch,,"2020-05-09 04:30","2020-05-09 04:30",5/8/2020,24.46kg,1.01m,0,0,1,2500,86.15%,568,97.07%,17000,16,Electabuzz,,0,89.69%,423,97.72%,65000,158,Electivire,,0
501,Venusaur,,3,♂,1495,120,11,10,12,73.3,20.0,20.0,Razor Leaf,Sludge Bomb,,"2020-05-08 22:30","2020-05-08 22:30",4/6/2020,,,0,0,0,0,73.65%,1080,96.14%,0,0,Venusaur,,0,,,,,,,,
502,Geodude,Normal,74,♀,756,80,12,8,8,62.2,22.0,22.0,,,,"2020-05-07 20:56","2020-05-07 20:56",5/5/2020,,,0,0,2,0,12.38%,3589,92.67%,54000,73,Graveler,Normal,0,32.19%,2778,95.26%,86000,201,Golem,Normal,0
503,Geodude,Normal,74,♀,968,95,9,8,15,71.1,28.0,28.0,,,,"2020-05-07 20:52","2020-05-07 20:52",5/7/2020,,,0,0,5,0,56.51%,1782,95.24%,9000,33,Graveler,Normal,0,45.23%,2244,95.76%,35000,155,Golem,Normal,0
504,Geodude,Normal,74,♀,591,72,11,9,12,71.1,17.0,17.0,,,,"2020-05-07 20:38","2020-05-07 20:38",5/6/2020,,,0,0,1,0,86.30%,562,97.05%,6600,131,Golem,Normal,0,46.59%,2188,95.82%,104800,217,Golem,Normal,0
505,Geodude,Normal,74,♂,853,86,13,3,9,55.6,25.0,25.0,,,,"2020-05-07 20:36","2020-05-07 20:36",5/6/2020,,,0,0,1,0,27.81%,2957,93.73%,39000,59,Graveler,Normal,0,20.24%,3267,94.76%,72000,189,Golem,Normal,0
506,Geodude,Normal,74,♀,1133,99,15,4,10,64.4,35.0,35.0,,,,"2020-05-07 20:28","2020-05-07 20:28",5/7/2020,,,0,0,1,0,77.44%,925,89.03%,88000,118,Geodude,Normal,0,79.41%,844,90.90%,88000,143,Graveler,Normal,0
507,Geodude,Normal,74,♂,801,81,7,14,4,55.6,24.0,24.0,,,,"2020-05-07 20:28","2020-05-07 20:28",5/7/2020,,,0,0,1,0,61.98%,1558,95.52%,51000,69,Graveler,Normal,0,53.21%,1917,96.06%,85000,201,Golem,Normal,0
508,Spearow,,21,♂,573,91,13,13,14,88.9,26.0,26.0,,,,"2020-05-07 20:07","2020-05-07 20:07",5/7/2020,,,1,0,2,0,43.52%,2314,94.38%,2000,54,Fearow,,0,98.66%,56,96.95%,93000,264,Fearow,,0
509,Fearow,,22,♂,1497,120,13,13,11,82.2,27.0,27.0,Steel Wing,Sky Attack,,"2020-05-07 20:01","2020-05-07 20:01",5/2/2020,,,0,0,0,0,64.81%,1442,95.36%,0,0,Fearow,,0,,,,,,,,
510,Paras,,46,♀,794,92,7,5,14,57.8,31.0,31.0,,,,"2020-05-07 18:57","2020-05-07 18:57",5/7/2020,,,0,0,2,0,65.42%,1417,95.86%,0,50,Parasect,,0,65.40%,1418,88.95%,140000,224,Parasect,,0
511,Shinx,,403,♂,459,83,10,10,11,68.9,20.0,20.0,,,,"2020-05-07 17:50","2020-05-07 17:50",5/7/2020,,,0,0,1,0,84.81%,623,90.64%,225000,273,Luxio,,0,44.00%,2294,95.72%,109000,223,Luxray,,0
512,Cloyster,,91,♂,1419,87,14,13,10,82.2,20.0,20.0,Ice Shard,Avalanche,,"2020-05-07 16:54","2020-05-07 16:54",5/7/2020,,,0,0,3,0,37.83%,2547,94.02%,5000,4,Cloyster,,0,,,,,,,,
513,Oddish,,43,♂,699,83,12,4,6,48.9,22.0,22.0,,,,"2020-05-07 16:54","2020-05-07 16:54",5/7/2020,,,0,0,1,0,22.52%,3174,93.79%,16500,140,Bellossom,,0,42.86%,2341,90.53%,214000,363,Vileplume,,0
514,Vulpix,Normal,37,♂,518,82,6,11,12,64.4,23.0,23.0,,,,"2020-05-07 16:54","2020-05-07 16:54",5/7/2020,,,0,0,1,0,80.49%,800,96.39%,10500,59,Ninetales,Normal,0,78.46%,883,92.02%,208000,282,Ninetales,Normal,0
515,Exeggcute,,102,♂,874,117,9,12,11,71.1,28.0,28.0,,,,"2020-05-07 16:54","2020-05-07 16:54",5/7/2020,,,0,0,1,0,87.55%,511,90.96%,169000,198,Exeggcute,,0,76.53%,962,96.96%,24000,70,Exeggutor,Normal,0
516,Charmander,,4,♂,827,97,11,13,13,82.2,32.0,32.0,,,,"2020-05-07 16:54","2020-05-07 16:54",5/7/2020,,,0,0,5,0,,,,,,,,,74.68%,1038,96.82%,0,125,Charizard,,0
517,Pinsir,,127,♀,2346,125,14,4,11,64.4,29.0,29.0,Rock Smash,X-Scissor,,"2020-05-07 15:35","2020-05-07 15:35",5/2/2020,,,0,0,0,0,,,,,,,,,11.31%,3633,94.40%,26000,22,Pinsir,,0
518,Mewtwo,Normal,150,,1741,117,10,12,13,77.8,15.0,15.0,Psycho Cut,Psystrike,,"2020-05-07 14:42","2020-05-07 14:42",5/7/2020,,,0,0,1,0,,,,,,,,,92.19%,321,97.72%,29400,27,Mewtwo,Normal,0
519,Grimer,Normal,88,♂,719,116,8,12,5,55.6,20.0,20.0,,,,"2020-05-07 14:41","2020-05-07 14:41",4/26/2020,,,0,0,2,0,51.48%,1988,95.34%,0,50,Muk,Normal,0,,,,,,,,
520,Charmeleon,,5,♂,834,94,8,9,12,64.4,19.0,19.0,,,,"2020-05-07 14:41","2020-05-07 14:41",5/1/2020,,,0,0,2,0,77.17%,936,96.04%,0,100,Charizard,,0,65.25%,1424,96.43%,121000,210,Charizard,,0
521,Omastar,,139,,1579,109,15,15,12,93.3,20.0,20.0,,,,"2020-05-07 14:40","2020-05-07 14:40",4/7/2020,,,0,0,0,0,,,,,,,,,35.16%,2656,95.02%,109000,98,Omastar,,0
522,Luxio,,404,♂,794,101,11,6,15,71.1,20.0,20.0,,,,"2020-05-07 14:40","2020-05-07 14:40",4/9/2020,,,0,0,0,0,80.22%,811,89.71%,225000,248,Luxio,,0,42.98%,2336,95.67%,109000,198,Luxray,,0
523,Chimchar,,390,♂,507,80,10,13,8,68.9,20.0,20.0,,,,"2020-05-07 14:40","2020-05-07 14:40",4/20/2020,,,0,0,2,0,27.47%,2971,93.77%,0,125,Infernape,,0,,,,,,,,
524,Vulpix,Normal,37,♂,508,81,10,6,14,66.7,22.0,22.0,,,,"2020-05-07 14:39","2020-05-07 14:39",5/6/2020,,,0,0,1,0,35.51%,2642,94.18%,13000,62,Ninetales,Normal,0,81.22%,770,92.40%,214000,288,Ninetales,Normal,0
525,Kabuto,,140,♂,744,66,12,13,9,75.6,20.0,20.0,,,,"2020-05-07 14:39","2020-05-07 14:39",4/6/2020,,,0,0,2,0,66.23%,1384,95.97%,0,50,Kabutops,,0,61.42%,1581,95.80%,161000,210,Kabutops,,0
526,Chansey,,113,♀,843,351,4,12,10,57.8,28.0,28.0,,,,"2020-05-07 10:37","2020-05-07 10:37",5/7/2020,,,0,0,0,0,43.83%,2301,82.70%,169000,198,Chansey,,0,96.90%,128,98.46%,159000,233,Blissey,,0
527,Zubat,,41,♀,375,77,15,4,4,51.1,22.0,22.0,,,,"2020-05-07 10:37","2020-05-07 10:37",5/7/2020,,,0,0,1,0,1.73%,4025,90.82%,45000,65,Golbat,,0,43.47%,2316,94.01%,204000,348,Crobat,,0
528,Gible,,443,♂,606,96,12,13,10,77.8,20.0,20.0,,,,"2020-05-06 22:03","2020-05-06 22:03",5/6/2020,,,0,0,1,0,56.04%,1801,95.06%,65000,83,Gabite,,0,60.05%,1637,95.99%,14000,138,Garchomp,,0
529,Oddish,,43,♂,1014,101,12,8,9,64.4,32.0,32.0,,,,"2020-05-06 22:03","2020-05-06 22:03",5/6/2020,,,0,0,1,0,36.04%,2620,93.65%,56000,89,Gloom,,0,78.97%,862,94.54%,128000,287,Vileplume,,0
530,Horsea,,116,♂,498,65,13,0,14,60.0,18.0,18.0,,,,"2020-05-06 22:03","2020-05-06 22:03",5/6/2020,,,0,0,1,0,42.76%,2345,94.40%,52400,71,Seadra,,0,69.94%,1232,95.72%,224400,366,Kingdra,,0
531,Venomoth,,49,♂,1693,131,7,6,4,37.8,33.0,33.0,,,,"2020-05-06 22:03","2020-05-06 22:03",5/6/2020,,,0,0,0,0,,,,,,,,,28.38%,2934,85.49%,116000,150,Venomoth,,0
532,Slowpoke,,79,♀,787,143,14,4,12,66.7,24.0,24.0,,,,"2020-05-06 22:02","2020-05-06 22:02",5/6/2020,,,0,0,1,0,75.56%,1002,88.51%,201000,226,Slowpoke,Normal,0,82.15%,732,94.80%,201000,276,Slowbro,,0
533,Bellsprout,,69,♀,719,100,12,15,13,88.9,25.0,25.0,,,,"2020-05-06 17:46","2020-05-06 17:46",5/6/2020,,,0,0,1,0,93.82%,254,96.87%,130000,157,Weepinbell,,0,99.10%,38,97.43%,194000,345,Victreebel,,0
534,Shellder,,90,♀,876,79,14,13,6,73.3,30.0,30.0,,,,"2020-05-06 17:46","2020-05-06 17:46",5/6/2020,,,0,0,1,0,88.23%,483,90.46%,150000,182,Shellder,,0,85.52%,594,94.90%,150000,232,Cloyster,,0
535,Seel,,86,♂,610,115,10,6,14,66.7,24.0,24.0,,,,"2020-05-06 17:46","2020-05-06 17:46",5/6/2020,,,0,0,1,0,62.03%,1556,95.45%,32000,78,Dewgong,,0,79.19%,853,91.69%,201000,276,Dewgong,,0
536,Shellder,,90,♂,873,85,10,6,14,66.7,31.0,31.0,,,,"2020-05-06 17:46","2020-05-06 17:46",5/6/2020,,,0,0,1,0,84.30%,644,89.39%,140000,174,Shellder,,0,88.16%,486,95.39%,140000,224,Cloyster,,0
537,Nidoking,,34,♂,1078,105,13,13,13,86.7,15.0,15.0,Poison Jab,Megahorn,,"2020-05-05 20:07","2020-05-05 20:07",5/5/2020,,,0,0,1,0,35.31%,2650,93.95%,23900,22,Nidoking,,0,98.32%,70,98.73%,236400,253,Nidoking,,0
538,Paras,,46,♂,756,86,11,15,13,86.7,27.0,27.0,,,,"2020-05-05 19:52","2020-05-05 19:52",5/5/2020,,,0,0,1,0,72.53%,1126,96.23%,18000,66,Parasect,,0,98.27%,72,96.32%,178000,256,Parasect,,0
539,Abra,,63,♂,996,68,15,11,4,66.7,28.0,28.0,,,,"2020-05-05 19:52","2020-05-05 19:52",5/5/2020,,,0,0,1,0,69.47%,1251,85.72%,169000,198,Abra,,0,0.17%,4089,92.64%,14000,137,Alakazam,,0
540,Bellsprout,,69,♀,485,85,0,1,3,8.9,21.0,21.0,,,,"2020-05-05 19:52","2020-05-05 19:52",5/5/2020,,,0,0,1,0,68.50%,1291,95.83%,26000,149,Victreebel,,0,0.68%,4068,79.32%,220000,369,Victreebel,,0
541,Shellder,,90,♀,590,67,10,8,8,57.8,21.0,21.0,,,,"2020-05-05 19:52","2020-05-05 19:52",5/5/2020,,,0,0,2,0,13.09%,3560,92.58%,3000,53,Cloyster,,0,65.10%,1430,92.08%,220000,294,Cloyster,,0
542,Geodude,Normal,74,♀,765,80,6,14,5,55.6,23.0,23.0,,,,"2020-05-05 19:00","2020-05-05 19:00",5/5/2020,,,0,0,1,0,67.50%,1332,95.83%,58000,75,Graveler,Normal,0,77.61%,918,97.04%,99000,215,Golem,Normal,0
543,Geodude,Normal,74,♂,878,83,15,3,3,46.7,26.0,26.0,,,,"2020-05-05 16:54","2020-05-05 16:54",5/5/2020,,,0,0,2,0,2.08%,4011,91.40%,31000,53,Graveler,Normal,0,0.83%,4062,93.02%,64000,183,Golem,Normal,0
544,Geodude,Normal,74,♂,927,95,5,4,15,53.3,28.0,28.0,,,,"2020-05-05 16:51","2020-05-05 16:51",5/5/2020,,,0,0,2,0,89.11%,447,97.26%,24000,45,Graveler,Normal,0,78.75%,871,97.08%,60000,181,Golem,Normal,0
545,Geodude,Normal,74,♂,1112,98,14,5,10,64.4,34.0,34.0,,,,"2020-05-05 16:47","2020-05-05 16:47",5/5/2020,,,0,0,1,0,77.73%,913,89.07%,102000,134,Geodude,Normal,0,79.46%,842,90.93%,102000,159,Graveler,Normal,0
546,Alomomola,,594,♀,1203,209,12,13,13,84.4,20.0,20.0,Hidden Power,Psychic,,"2020-05-05 14:05","2020-05-05 14:05",5/5/2020,,,0,0,1,0,28.60%,2925,93.26%,27500,25,Alomomola,,0,96.90%,128,96.35%,225000,248,Alomomola,,0
547,Arcanine,,59,♀,1282,113,13,15,13,91.1,15.0,15.0,Fire Fang,Crunch,,"2020-05-05 13:50","2020-05-05 13:50",5/5/2020,,,0,0,0,0,81.90%,742,96.61%,9800,10,Arcanine,,0,50.77%,2017,96.06%,86400,78,Arcanine,,0
548,Aerodactyl,,142,♂,1184,104,15,15,12,93.3,15.0,15.0,Bite,Rock Slide,,"2020-05-05 13:49","2020-05-05 13:49",5/5/2020,,,0,0,4,0,83.61%,672,96.85%,16400,16,Aerodactyl,,0,48.72%,2101,95.76%,130400,118,Aerodactyl,,0
549,Swablu,,333,♀,593,96,11,5,8,53.3,28.0,28.0,,,,"2020-05-05 13:35","2020-05-05 13:35",5/5/2020,,,0,0,2,0,42.27%,2365,94.07%,0,400,Altaria,,0,62.86%,1522,89.91%,169000,598,Altaria,,0
550,Magikarp,,129,♀,105,50,12,10,12,75.6,15.0,15.0,,,,"2020-05-05 13:35","2020-05-05 13:35",5/5/2020,,,0,0,2,0,7.47%,3790,92.08%,1900,402,Gyarados,,0,,,,,,,,
551,Seel,,86,♀,488,104,4,5,7,35.6,21.0,21.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,1,0,60.66%,1612,95.38%,65000,108,Dewgong,,0,22.15%,3189,85.00%,220000,294,Dewgong,,0
552,Abra,,63,♀,972,72,7,13,12,71.1,27.0,27.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,1,0,90.43%,393,90.88%,178000,206,Abra,,0,56.83%,1769,96.11%,23000,145,Alakazam,,0
553,Magnemite,,81,,684,59,1,14,6,46.7,20.0,20.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,1,0,89.30%,439,96.80%,17000,41,Magneton,,0,94.70%,218,97.89%,70000,187,Magnezone,,0
554,Eevee,,133,♂,770,104,11,15,4,66.7,27.0,27.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,1,0,84.84%,622,89.79%,178000,206,Eevee,,0,53.33%,1912,96.11%,33000,53,Flareon,,0
555,Chansey,,113,♀,728,316,7,14,7,62.2,23.0,23.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,0,0,67.23%,1343,87.36%,208000,232,Chansey,,0,81.90%,742,96.88%,161000,216,Blissey,,0
556,Eevee,,133,♀,825,111,14,10,12,80.0,28.0,28.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,0,0,95.26%,195,93.06%,169000,198,Eevee,,0,53.41%,1909,95.66%,41000,61,Jolteon,,0
557,Golbat,,42,♂,1090,115,1,9,4,31.1,22.0,22.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,2,0,83.96%,658,96.59%,0,100,Crobat,,0,,,,,,,,
558,Eevee,,133,♂,751,111,5,14,14,73.3,27.0,27.0,,,,"2020-05-05 13:34","2020-05-05 13:34",5/5/2020,,,0,0,0,0,87.08%,530,90.17%,178000,206,Eevee,,0,96.90%,128,98.40%,23000,45,Vaporeon,,0
559,Rhyhorn,,111,♂,1084,132,10,14,12,80.0,24.0,24.0,Mud-Slap,Bulldoze,,"2020-05-05 13:33","2020-05-05 13:33",5/5/2020,130.55kg,0.97m,0,0,2,3500,,,,,,,,,88.42%,475,97.16%,0,125,Rhyperior,,0
560,Wigglytuff,,40,♀,1312,199,15,9,4,62.2,25.0,25.0,Feint Attack,Ice Beam,,"2020-05-05 13:33","2020-05-05 13:33",5/5/2020,,,0,0,1,0,24.47%,3094,93.36%,29500,26,Wigglytuff,,0,79.29%,849,91.19%,194000,220,Wigglytuff,,0
561,Eevee,,133,♂,830,110,15,11,10,80.0,28.0,28.0,,,,"2020-05-05 13:33","2020-05-05 13:33",5/5/2020,,,0,0,0,0,96.63%,139,93.85%,169000,198,Eevee,,0,38.88%,2504,95.28%,4500,29,Glaceon,,0
562,Eevee,,133,♂,867,114,14,13,13,88.9,29.0,29.0,,,,"2020-05-05 13:32","2020-05-05 13:32",5/5/2020,,,0,0,0,0,98.90%,46,96.08%,160000,190,Eevee,,0,72.06%,1145,96.37%,26000,47,Jolteon,,0
563,Eevee,,133,♂,724,106,7,5,8,44.4,27.0,27.0,,,,"2020-05-05 13:32","2020-05-05 13:32",5/5/2020,6.77kg,0.27m,0,0,1,4500,36.97%,2582,81.98%,178000,206,Eevee,,0,56.09%,1799,96.27%,76000,97,Leafeon,,0
564,Nidoran♂,,32,♂,399,82,1,11,12,53.3,19.0,19.0,,,,"2020-05-05 11:50","2020-05-05 11:50",5/5/2020,,,0,0,1,0,93.60%,263,97.19%,16000,139,Nidoking,,0,61.90%,1561,92.83%,230000,377,Nidoking,,0
565,Caterpie,,10,♀,28,28,10,14,3,60.0,3.0,3.0,,,,"2020-05-05 08:37","2020-05-05 08:37",5/5/2020,,,0,0,2,0,63.52%,1495,95.95%,135200,194,Butterfree,,0,70.26%,1219,89.40%,269200,362,Butterfree,,0
566,Muk,Normal,89,♀,1179,127,15,15,14,97.8,15.0,15.0,Infestation,Acid Spray,,"2020-05-05 06:29","2020-05-05 06:29",5/5/2020,,,0,0,0,0,65.49%,1414,95.97%,16400,16,Muk,Normal,0,56.19%,1795,95.88%,137400,126,Muk,Normal,0
567,Krabby,,98,♂,649,59,11,15,13,86.7,15.0,15.0,,,,"2020-05-04 20:03","2020-05-04 20:03",5/4/2020,,,0,0,1,0,99.12%,37,98.48%,226400,238,Krabby,,0,82.22%,729,97.32%,130400,168,Kingler,,0
568,Hitmonchan,,107,♂,964,76,12,13,10,77.8,15.0,15.0,Counter,Ice Punch,,"2020-05-04 20:01","2020-05-04 20:01",5/4/2020,,,0,0,4,0,41.86%,2382,94.63%,38400,36,Hitmonchan,,0,93.48%,268,94.37%,246400,268,Hitmonchan,,0
569,Bulbasaur,,1,♂,749,94,8,8,10,57.8,26.0,26.0,,,,"2020-05-04 19:32","2020-05-04 19:32",5/4/2020,,,0,0,5,0,71.77%,1157,95.92%,130000,161,Ivysaur,,0,80.20%,812,96.76%,157000,297,Venusaur,,0
570,Geodude,Normal,74,♀,876,89,8,7,11,57.8,26.0,26.0,,,,"2020-05-04 18:59","2020-05-04 18:59",5/4/2020,,,0,0,2,0,34.80%,2671,94.09%,31000,53,Graveler,Normal,0,65.57%,1411,96.53%,70000,189,Golem,Normal,0
571,Spearow,,21,♂,581,85,11,14,1,57.8,28.0,28.0,,,,"2020-05-04 18:59","2020-05-04 18:59",5/4/2020,,,0,0,2,0,45.01%,2253,94.45%,0,50,Fearow,,0,68.62%,1286,89.66%,169000,248,Fearow,,0
572,Snivy,,495,♀,469,84,14,11,13,84.4,20.0,20.0,,,,"2020-05-04 18:39","2020-05-04 18:39",5/4/2020,,,0,0,0,0,58.75%,1690,95.30%,20500,144,Serperior,,0,98.02%,82,96.98%,225000,373,Serperior,,0
573,Aerodactyl,,142,♂,1557,119,13,15,10,84.4,20.0,20.0,Steel Wing,Earth Power,,"2020-05-04 18:39","2020-05-04 18:39",5/4/2020,,,0,0,1,0,,,,,,,,,65.79%,1402,96.45%,123000,114,Aerodactyl,,0
574,Lapras,,131,♀,1096,149,13,10,11,75.6,15.0,15.0,Frost Breath,Hydro Pump,,"2020-05-04 18:39","2020-05-04 18:39",5/4/2020,,,0,0,1,0,64.37%,1460,96.10%,23900,22,Lapras,,0,75.07%,1022,96.30%,208400,214,Lapras,,0
575,Tepig,,498,♂,587,103,11,13,11,77.8,20.0,20.0,,,,"2020-05-04 18:38","2020-05-04 18:38",5/4/2020,,,0,0,1,0,47.11%,2167,94.96%,56000,75,Pignite,,0,74.31%,1053,96.77%,80000,195,Emboar,,0
576,Exeggutor,Normal,103,♂,1690,135,13,15,10,84.4,20.0,20.0,,,,"2020-05-04 18:38","2020-05-04 18:38",5/4/2020,,,0,0,1,0,,,,,,,,,56.02%,1802,96.14%,70000,62,Exeggutor,Normal,0
577,Shelmet,,616,♂,484,95,6,14,12,71.1,23.0,23.0,,,,"2020-05-04 18:37","2020-05-04 18:37",4/30/2020,,,0,0,2,0,75.43%,1007,86.85%,208000,232,Shelmet,,0,90.99%,370,93.69%,208000,432,Accelgor,,0
578,Geodude,Normal,74,,626,74,15,14,15,97.8,17.0,17.0,,,,"2020-05-04 18:37","2020-05-04 18:37",5/3/2020,,,1,0,5,0,36.26%,2611,94.18%,32650,83,Graveler,Normal,0,30.31%,2855,95.19%,41900,199,Golem,Normal,0
579,Geodude,Normal,74,♂,755,78,14,6,6,57.8,22.0,22.0,,,,"2020-05-04 18:36","2020-05-04 18:36",5/4/2020,,,0,0,2,0,4.13%,3927,91.80%,54000,73,Graveler,Normal,0,6.06%,3848,93.89%,86000,201,Golem,Normal,0
580,Chansey,,113,♀,515,258,13,11,13,82.2,15.0,15.0,,,,"2020-05-04 11:33","2020-05-04 11:33",5/4/2020,,,0,0,4,0,52.19%,1959,94.82%,18900,68,Blissey,,0,48.35%,2116,95.08%,158400,200,Blissey,,0
581,Tangela,,114,♀,951,91,15,13,14,93.3,15.0,15.0,Vine Whip,Solar Beam,,"2020-05-04 11:22","2020-05-04 11:22",5/4/2020,,,0,0,2,0,50.87%,2013,94.72%,41900,39,Tangela,,0,41.34%,2403,95.90%,86400,178,Tangrowth,,0
582,Dratini,,147,♀,419,67,14,15,10,86.7,15.0,15.0,,,,"2020-05-04 11:22","2020-05-04 11:22",5/4/2020,,,0,0,1,0,47.42%,2154,94.91%,96400,111,Dragonair,,0,24.25%,3103,94.42%,38400,161,Dragonite,,0
583,Onix,,95,♀,599,72,13,11,10,75.6,20.0,20.0,,,,"2020-05-04 11:22","2020-05-04 11:22",5/4/2020,,,0,0,1,0,8.03%,3767,91.73%,11000,60,Steelix,,0,91.33%,356,94.87%,225000,298,Steelix,,0
584,Charmander,,4,♂,461,72,0,9,4,28.9,20.0,20.0,,,,"2020-05-04 01:07","2020-05-04 01:07",5/3/2020,,,0,0,2,0,74.38%,1050,95.90%,0,125,Charizard,,0,,,,,,,,
585,Zubat,,41,♀,358,79,7,14,10,68.9,21.0,21.0,,,,"2020-05-03 20:28","2020-05-03 20:28",5/3/2020,10.55kg,0.95m,0,0,1,3000,76.48%,964,95.88%,51000,71,Golbat,,0,95.31%,193,97.78%,210000,354,Crobat,,0
586,Pinsir,,127,♀,1487,100,6,6,9,46.7,19.0,19.0,Fury Cutter,Superpower,,"2020-05-03 20:27","2020-05-03 20:27",5/3/2020,70.65kg,1.72m,0,0,0,2500,76.85%,949,95.96%,0,0,Pinsir,,0,52.77%,1935,96.14%,121000,110,Pinsir,,0
587,Pinsir,,127,♀,2523,128,11,7,9,60.0,33.0,33.0,Bug Bite,Vise Grip,,"2020-05-03 20:25","2020-05-03 20:25",5/3/2020,,,0,0,1,0,,,,,,,,,,,,,,,,
588,Caterpie,,10,♂,233,85,11,14,15,88.9,20.0,20.0,,,,"2020-05-03 20:25","2020-05-03 20:25",5/3/2020,,,0,0,2,0,41.71%,2388,94.89%,65000,120,Butterfree,,0,99.12%,37,97.16%,225000,310,Butterfree,,0
589,Bellsprout,,69,♀,535,87,10,8,10,62.2,20.0,20.0,,,,"2020-05-03 20:24","2020-05-03 20:24",5/3/2020,,,0,0,1,0,77.58%,919,94.96%,225000,273,Weepinbell,,0,74.14%,1060,90.89%,225000,373,Victreebel,,0
590,Eevee,,133,♂,841,112,15,12,13,88.9,28.0,28.0,,,,"2020-05-03 20:24","2020-05-03 20:24",5/3/2020,,,0,0,0,0,,,,,,,,,27.79%,2958,94.80%,0,25,Glaceon,,0
591,Karrablast,,588,♂,644,88,10,15,11,80.0,20.0,20.0,,,,"2020-05-03 20:24","2020-05-03 20:24",5/3/2020,,,0,0,1,0,96.00%,165,93.49%,225000,248,Karrablast,,0,78.97%,862,97.22%,103000,292,Escavalier,,0
592,Chansey,,113,♀,815,354,2,10,15,60.0,28.0,28.0,,,,"2020-05-03 20:22","2020-05-03 20:22",5/3/2020,,,0,0,0,0,29.06%,2906,79.78%,169000,198,Chansey,,0,92.48%,309,97.81%,169000,248,Blissey,,0
593,Mankey,,56,♂,696,80,14,5,6,55.6,23.0,23.0,,,,"2020-05-03 20:22","2020-05-03 20:22",5/3/2020,,,0,0,1,0,1.68%,4027,91.46%,7000,56,Primeape,,0,53.53%,1904,88.39%,208000,282,Primeape,,0
594,Geodude,Normal,74,♀,443,62,3,5,6,31.1,14.0,14.0,,,,"2020-05-03 12:55","2020-05-03 12:55",5/2/2020,,,0,0,4,0,66.89%,1357,95.87%,22100,147,Golem,Normal,0,64.05%,1473,96.47%,169600,289,Golem,Normal,0
595,Geodude,Normal,74,♀,725,80,11,8,11,66.7,21.0,21.0,,,,"2020-05-03 12:55","2020-05-03 12:55",5/1/2020,,,0,0,2,0,30.01%,2867,93.82%,60000,79,Graveler,Normal,0,54.99%,1844,96.13%,92000,207,Golem,Normal,0
