Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1107,Bagon,,371,♂,482,73,13,13,14,88.9,15.0,15.0,,,,"2020-08-01 13:34","2020-08-01 13:34",7/31/2020,,,0,0,1,0,,,,,,,,,64.69%,1447,96.36%,41900,164,Salamence,,0,,,,,,,,,U
1108,Gible,,443,♀,626,105,1,1,10,26.7,24.0,24.0,,,,"2020-08-01 13:33","2020-07-31 20:36",7/31/2020,,,0,0,2,0,,,,,,,,,46.76%,2181,95.49%,0,125,Garchomp,,0,,,,,,,,,U
1109,Dratini,,147,♀,625,88,10,4,14,62.2,24.0,24.0,,,,"2020-07-31 20:35","2020-07-31 20:35",7/31/2020,,,0,0,1,0,,,,,,,,,48.11%,2126,95.37%,0,125,Dragonite,,0,,,,,,,,,U
1110,Dragonair,,148,♀,582,78,8,14,14,80.0,12.0,12.0,,,,"2020-07-31 20:30","2020-07-31 20:30",7/31/2020,,,0,0,2,0,72.41%,1131,96.17%,5800,108,Dragonite,,0,,,,,,,,,,,,,,,,,G
1111,Bagon,,371,♂,780,90,2,10,0,26.7,28.0,28.0,,,,"2020-07-31 20:07","2020-07-31 20:07",7/31/2020,,,0,0,1,0,,,,,,,,,10.01%,3686,82.57%,169000,223,Shelgon,,0,,,,,,,,,U
1112,Dratini,,147,♂,579,80,1,6,0,15.6,25.0,25.0,,,,"2020-07-31 14:26","2020-07-31 14:26",7/31/2020,,,0,0,1,0,,,,,,,,,52.99%,1926,95.55%,4000,128,Dragonite,,0,,,,,,,,,U
1113,Dratini,,147,♀,598,85,7,3,10,44.4,24.0,24.0,,,,"2020-07-31 14:26","2020-07-31 14:26",7/31/2020,,,0,0,1,0,,,,,,,,,42.20%,2368,95.15%,3500,128,Dragonite,,0,,,,,,,,,U
1114,Dratini,,147,♀,518,78,0,14,8,48.9,21.0,21.0,,,,"2020-07-31 14:26","2020-07-31 14:26",7/31/2020,,,0,0,1,0,,,,,,,,,87.11%,529,97.08%,22500,146,Dragonite,,0,,,,,,,,,U
1115,Dratini,,147,♀,597,84,5,7,8,44.4,24.0,24.0,,,,"2020-07-31 14:26","2020-07-31 14:26",7/31/2020,,,0,0,1,0,,,,,,,,,55.92%,1806,95.66%,3500,128,Dragonite,,0,,,,,,,,,U
1116,Trapinch,,328,♂,1113,104,12,13,10,77.8,34.0,34.0,,,,"2020-07-31 14:25","2020-07-31 14:25",7/31/2020,,,0,0,1,0,94.82%,213,92.79%,102000,134,Trapinch,,0,78.66%,875,96.13%,55000,193,Flygon,,0,,,,,,,,,
1117,Dratini,,147,♂,527,78,6,8,7,46.7,21.0,21.0,,,,"2020-07-31 14:25","2020-07-31 14:25",7/31/2020,,,0,0,1,0,,,,,,,,,59.93%,1642,95.81%,22500,146,Dragonite,,0,,,,,,,,,U
1118,Dratini,,147,♂,741,90,6,8,3,37.8,30.0,30.0,,,,"2020-07-31 14:25","2020-07-31 14:25",7/31/2020,,,0,0,1,0,,,,,,,,,26.35%,3017,83.81%,150000,207,Dragonair,,0,,,,,,,,,U
1119,Dratini,,147,♀,799,98,15,1,14,66.7,30.0,30.0,,,,"2020-07-31 14:25","2020-07-31 14:25",7/31/2020,,,0,0,1,0,,,,,,,,,75.97%,985,90.00%,150000,207,Dragonair,,0,,,,,,,,,U
1120,Bagon,,371,♂,471,71,13,11,10,75.6,15.0,15.0,,,,"2020-07-31 14:24","2020-07-31 14:24",7/31/2020,,,0,0,1,0,,,,,,,,,72.01%,1147,96.67%,45400,167,Salamence,,0,,,,,,,,,U
1121,Horsea,,116,♀,563,63,12,14,5,68.9,20.0,20.0,,,,"2020-07-31 14:24","2020-07-31 14:24",7/31/2020,,,0,0,2,0,34.33%,2690,94.04%,2500,127,Kingdra,,0,,,,,,,,,,,,,,,,,G
1122,Gible,,443,♂,969,117,13,15,4,71.1,34.0,34.0,,,,"2020-07-31 14:24","2020-07-31 14:24",7/31/2020,,,0,0,1,0,,,,,,,,,89.35%,437,92.79%,102000,159,Gabite,,0,,,,,,,,,U
1123,Gligar,,207,♂,918,103,4,7,15,57.8,19.0,19.0,,,,"2020-07-31 14:24","2020-07-31 14:24",7/31/2020,,,0,0,2,0,96.41%,148,98.18%,10000,108,Gliscor,,0,,,,,,,,,,,,,,,,,G
1124,Roselia,,315,♂,729,74,4,12,7,51.1,15.0,15.0,,,,"2020-07-31 14:23","2020-07-31 14:23",7/31/2020,,,0,0,0,0,95.09%,202,97.99%,16400,116,Roserade,,0,,,,,,,,,,,,,,,,,G
1125,Charmander,,4,♂,452,71,5,6,5,35.6,19.0,19.0,,,,"2020-07-31 14:23","2020-07-31 14:23",7/31/2020,,,0,0,1,0,18.56%,3336,93.19%,2500,127,Charizard,Normal,0,,,,,,,,,,,,,,,,,G
1126,Trapinch,,328,♂,692,85,10,11,15,80.0,20.0,20.0,,,,"2020-07-31 14:23","2020-07-31 14:23",7/31/2020,,,0,0,2,0,39.68%,2471,94.65%,0,125,Flygon,,0,,,,,,,,,,,,,,,,,G
1127,Trapinch,,328,♂,692,81,7,12,5,53.3,21.0,21.0,,,,"2020-07-31 14:23","2020-07-31 14:23",7/31/2020,,,0,0,2,0,71.79%,1156,96.12%,0,125,Flygon,,0,,,,,,,,,,,,,,,,,G
1128,Trapinch,,328,♀,722,82,15,10,7,71.1,21.0,21.0,,,,"2020-07-31 14:23","2020-07-31 14:23",7/31/2020,,,0,0,1,0,82.27%,727,88.76%,220000,244,Trapinch,,0,64.20%,1467,95.31%,182000,315,Flygon,,0,,,,,,,,,
1129,Hoppip,,187,♀,472,89,8,6,7,46.7,35.0,35.0,,,,"2020-07-31 14:22","2020-07-31 14:22",7/31/2020,,,0,0,1,0,62.98%,1517,94.74%,88000,243,Jumpluff,,0,45.84%,2219,86.91%,88000,243,Jumpluff,,0,68.33%,1298,92.02%,59000,76,Hoppip,,0,
1130,Turtwig,,387,♂,996,114,13,11,8,71.1,32.0,32.0,,,,"2020-07-31 14:22","2020-07-31 14:22",7/31/2020,,,0,0,1,0,88.16%,486,90.85%,128000,162,Turtwig,,0,89.06%,449,93.21%,128000,187,Grotle,,0,,,,,,,,,
1131,Tepig,,498,♂,929,131,9,14,11,75.6,34.0,34.0,,,,"2020-07-31 14:22","2020-07-31 14:22",7/31/2020,,,0,0,1,0,,,,,,,,,94.24%,237,94.36%,102000,159,Pignite,,0,,,,,,,,,U
1132,Barboach,,339,♂,580,97,14,8,4,57.8,27.0,27.0,,,,"2020-07-31 14:22","2020-07-31 14:22",7/31/2020,,,0,0,1,0,71.82%,1155,85.03%,178000,206,Barboach,,0,73.53%,1085,90.73%,178000,256,Whiscash,,0,,,,,,,,,
1133,Turtwig,,387,♂,927,108,13,12,5,66.7,29.0,29.0,,,,"2020-07-31 14:22","2020-07-31 14:22",7/31/2020,,,0,0,2,0,26.91%,2994,93.83%,0,25,Grotle,,0,,,,,,,,,,,,,,,,,G
1134,Foongus,,590,♂,654,125,6,5,11,48.9,27.0,27.0,,,,"2020-07-31 14:21","2020-07-31 14:21",7/31/2020,,,0,0,1,0,41.39%,2401,81.58%,178000,206,Foongus,,0,40.66%,2431,87.28%,178000,256,Amoonguss,,0,,,,,,,,,
1135,Foongus,,590,♀,660,119,10,10,5,55.6,26.0,26.0,,,,"2020-07-31 14:21","2020-07-31 14:21",7/31/2020,,,0,0,2,0,48.40%,2114,94.37%,0,50,Amoonguss,,0,67.64%,1326,90.30%,186000,264,Amoonguss,,0,,,,,,,,,
1136,Turtwig,,387,♂,916,115,4,10,10,53.3,31.0,31.0,,,,"2020-07-31 14:21","2020-07-31 14:21",7/31/2020,,,0,0,2,0,84.62%,631,97.11%,0,25,Grotle,,0,76.68%,956,97.18%,38000,165,Torterra,,0,,,,,,,,,
1137,Drilbur,,529,♀,1187,128,15,4,15,75.6,34.0,34.0,,,,"2020-07-31 14:21","2020-07-31 14:21",7/31/2020,,,0,0,1,0,,,,,,,,,78.85%,867,89.00%,102000,134,Drilbur,,0,,,,,,,,,U
1138,Drilbur,,529,♀,628,89,13,10,7,66.7,17.0,17.0,,,,"2020-07-31 14:21","2020-07-31 14:21",7/31/2020,,,0,0,1,0,82.15%,732,89.67%,238800,260,Drilbur,,0,57.41%,1745,95.86%,69800,112,Excadrill,,0,,,,,,,,,
1139,Tranquill,,520,♂,728,100,7,10,15,71.1,19.0,19.0,,,,"2020-07-31 13:33","2020-06-07 15:32",6/7/2020,,,0,0,2,0,85.98%,575,96.67%,5000,54,Unfezant,,0,85.54%,593,97.56%,174000,224,Unfezant,,0,,,,,,,,,
1140,Unfezant,,521,♀,1459,119,11,15,15,91.1,19.0,19.0,Air Slash,Hyper Beam,,"2020-07-31 13:31","2020-07-15 21:20",7/15/2020,,,0,0,5,0,93.11%,283,97.32%,2500,2,Unfezant,,0,,,,,,,,,,,,,,,,,G
1141,Houndoom,,229,♂,1497,117,10,13,14,82.2,20.5,20.5,Snarl,Crunch,,"2020-07-31 13:10","2020-04-28 14:40",3/9/2020,52.87kg,1.66m,0,0,5,0,90.09%,407,97.11%,0,0,Houndoom,Normal,0,,,,,,,,,,,,,,,,,G
1142,Milotic,,350,♀,1476,132,2,3,11,35.6,19.0,19.0,Waterfall,Blizzard,,"2020-07-31 13:08","2020-04-26 19:55",4/26/2020,,,0,0,5,0,71.26%,1178,95.86%,0,0,Milotic,,0,,,,,,,,,,,,,,,,,G
1143,Rhyhorn,,111,♀,735,109,12,13,15,88.9,16.0,16.0,,,,"2020-07-31 12:00","2020-07-31 12:00",7/31/2020,,,0,0,2,0,43.17%,2328,94.61%,1900,27,Rhydon,,0,,,,,,,,,,,,,,,,,G
1144,Treecko,,252,♂,941,102,11,13,15,86.7,35.0,35.0,,,,"2020-07-31 11:52","2020-07-31 11:52",7/31/2020,,,0,0,1,0,,,,,,,,,98.75%,52,96.41%,88000,143,Grovyle,,0,,,,,,,,,U
1145,Shuppet,,353,♀,634,88,12,12,11,77.8,23.0,23.0,,,,"2020-07-31 11:27","2020-07-31 11:27",7/31/2020,,,0,0,2,0,74.65%,1039,95.49%,3500,53,Banette,,0,93.19%,280,94.53%,208000,282,Banette,,0,,,,,,,,,
1146,Foongus,,590,♂,690,125,15,5,14,75.6,26.0,26.0,,,,"2020-07-31 11:26","2020-07-31 11:26",7/31/2020,,,0,0,1,0,87.18%,526,89.95%,186000,214,Foongus,,0,86.32%,561,93.06%,186000,264,Amoonguss,,0,,,,,,,,,
1147,Roselia,,315,♀,1588,111,7,7,9,51.1,35.0,35.0,Poison Jab,Sludge Bomb,,"2020-07-30 21:48","2020-07-30 21:48",7/30/2020,,,0,0,1,0,,,,,,,,,54.24%,1875,86.98%,88000,118,Roselia,,0,,,,,,,,,U
1148,Drilbur,,529,♀,1094,120,13,4,8,55.6,31.0,31.0,,,,"2020-07-30 21:48","2020-07-30 21:48",7/30/2020,,,0,0,1,0,,,,,,,,,48.25%,2120,84.01%,140000,174,Drilbur,,0,,,,,,,,,U
1149,Charmander,,4,♂,763,91,7,7,4,40.0,33.0,33.0,,,,"2020-07-29 23:19","2020-07-29 23:19",7/29/2020,,,0,0,1,0,,,,,,,,,34.73%,2674,95.32%,36000,167,Charizard,Normal,0,,,,,,,,,U
1150,Eevee,,133,♂,433,83,4,12,11,60.0,16.0,16.0,,,,"2020-07-29 21:21","2020-07-29 21:21",7/29/2020,,,0,0,0,0,98.29%,71,98.52%,8200,33,Vaporeon,,0,96.24%,155,97.95%,147600,163,Jolteon,,0,57.61%,1737,93.09%,8200,8,Eevee,,0,
1151,Gyarados,,130,♂,1406,123,0,1,15,35.6,16.0,16.0,Dragon Breath,Hydro Pump,,"2020-07-29 04:41","2020-03-10 19:50",3/10/2020,,,0,0,5,0,96.83%,131,97.87%,3800,4,Gyarados,Normal,0,,,,,,,,,,,,,,,,,G
1152,Ponyta,Normal,77,♂,1509,109,12,15,7,75.6,35.0,35.0,Ember,Flame Wheel,,"2020-07-29 04:35","2020-07-29 04:35",7/27/2020,,,0,0,1,0,,,,,,,,,92.19%,321,94.42%,88000,168,Rapidash,Normal,0,,,,,,,,,
1153,Whiscash,,340,♀,1299,160,7,9,4,44.4,24.0,24.0,Water Gun,Mud Bomb,,"2020-07-29 04:32","2020-07-29 04:32",7/27/2020,,,0,0,1,0,56.09%,1799,95.03%,27500,24,Whiscash,,0,45.42%,2236,87.46%,201000,226,Whiscash,,0,,,,,,,,,
1154,Charmander,,4,♂,741,90,8,5,5,40.0,31.0,31.0,,,,"2020-07-29 04:29","2020-07-29 04:29",7/28/2020,,,0,0,1,0,,,,,,,,,34.97%,2664,95.32%,60000,191,Charizard,Normal,0,,,,,,,,,U
1155,Drilbur,,529,♀,584,87,8,13,8,64.4,16.0,16.0,,,,"2020-07-29 04:29","2020-07-29 04:29",7/29/2020,,,0,0,1,0,25.54%,3050,93.78%,1900,52,Excadrill,,0,,,,,,,,,,,,,,,,,G
1156,Grimer,Alola,88,♂,755,122,10,14,15,86.7,20.0,20.0,,,,"2020-07-28 11:36","2020-07-28 11:36",7/28/2020,,,0,0,1,0,98.29%,71,95.75%,225000,248,Grimer,Alola,0,75.41%,1008,96.78%,137000,180,Muk,Alola,0,,,,,,,,,
1157,Swablu,,333,♀,560,94,4,7,4,33.3,29.0,29.0,,,,"2020-07-28 11:32","2020-07-28 11:32",7/28/2020,,,0,0,2,0,78.39%,886,96.18%,5000,404,Altaria,Normal,0,19.05%,3316,84.86%,160000,590,Altaria,Normal,0,,,,,,,,,
1158,Ralts,,280,♀,306,74,0,9,12,46.7,25.0,25.0,,,,"2020-07-28 07:16","2020-07-28 07:16",7/28/2020,,,0,0,2,0,47.55%,2149,81.95%,194000,245,Kirlia,,0,99.61%,17,99.44%,60000,177,Gardevoir,,0,40.56%,2435,80.66%,194000,220,Ralts,,0,
1159,Cyndaquil,,155,♂,736,92,4,4,5,28.9,33.0,33.0,,,,"2020-07-28 00:04","2020-07-28 00:04",7/28/2020,,,0,0,1,0,13.33%,3550,90.04%,116000,175,Quilava,,0,51.75%,1977,95.93%,60000,197,Typhlosion,,0,,,,,,,,,
1160,Phanpy,,231,♂,1049,164,13,12,13,84.4,33.0,33.0,,,,"2020-07-27 23:27","2020-07-27 23:27",7/27/2020,,,0,0,1,0,96.70%,136,94.66%,116000,150,Phanpy,,0,96.70%,136,94.66%,116000,150,Phanpy,,0,,,,,,,,,
1161,Larvitar,,246,♀,421,77,12,10,12,75.6,15.0,15.0,,,,"2020-07-27 23:27","2020-07-27 23:27",7/27/2020,,,0,0,1,0,46.25%,2202,95.02%,118400,131,Pupitar,,0,9.94%,3689,93.91%,38400,161,Tyranitar,,0,35.58%,2639,91.50%,9800,10,Larvitar,,0,
1162,Onix,,95,♀,907,91,12,6,13,68.9,31.0,31.0,,,,"2020-07-27 23:27","2020-07-27 23:27",7/27/2020,,,0,0,1,0,88.99%,452,91.58%,140000,174,Onix,,0,89.52%,430,94.46%,140000,224,Steelix,Normal,0,,,,,,,,,
1163,Espeon,,196,♂,1500,96,9,8,10,60.0,17.5,17.5,Zen Headbutt,Psybeam,,"2020-07-27 22:50","2020-04-27 16:12",4/27/2020,,,0,0,5,0,86.06%,572,96.62%,0,0,Espeon,,0,,,,,,,,,,,,,,,,,G
1164,Snorlax,,143,♂,1499,188,1,11,2,31.1,18.0,18.0,Zen Headbutt,Heavy Slam,,"2020-07-27 22:47","2020-03-08 07:13",3/3/2020,485.9kg,2m,0,0,5,0,98.85%,48,98.52%,0,0,Snorlax,,0,,,,,,,,,,,,,,,,,G
1165,Spheal,,363,♀,511,107,13,8,8,64.4,20.0,20.0,,,,"2020-07-27 12:13","2020-07-27 12:13",7/27/2020,,,0,0,2,0,45.42%,2236,94.78%,0,125,Walrein,,0,,,,,,,,,,,,,,,,,G
1166,Totodile,,158,♂,393,73,7,14,15,80.0,13.0,13.0,,,,"2020-07-27 12:11","2020-07-27 12:11",7/27/2020,,,0,0,0,0,96.31%,152,98.14%,22800,149,Feraligatr,,0,90.94%,372,98.05%,143800,259,Feraligatr,,0,95.43%,188,96.76%,12100,14,Totodile,,0,
1167,Charmander,,4,♂,791,93,10,12,9,68.9,31.0,31.0,,,,"2020-07-27 10:59","2020-07-27 10:59",7/27/2020,,,0,0,0,0,,,,,,,,,56.97%,1763,96.12%,24000,149,Charizard,Normal,0,,,,,,,,,U
1168,Dwebble,,557,♀,692,89,15,14,13,93.3,20.0,20.0,,,,"2020-07-25 19:27","2020-07-25 19:27",7/25/2020,,,0,0,1,0,23.35%,3140,93.77%,2500,52,Crustle,,0,,,,,,,,,,,,,,,,,G
1169,Clamperl,,366,♂,533,61,8,5,0,28.9,17.0,17.0,,,,"2020-07-25 19:26","2020-07-25 19:26",7/25/2020,,,0,0,0,0,41.17%,2410,94.50%,44800,90,Huntail,,0,9.69%,3699,83.22%,238800,310,Gorebyss,,0,,,,,,,,,
1170,Clamperl,,366,♀,698,70,8,7,1,35.6,22.0,22.0,,,,"2020-07-25 19:26","2020-07-25 19:26",7/25/2020,,,0,0,2,0,34.38%,2688,93.75%,6000,56,Gorebyss,,0,19.54%,3296,84.86%,214000,288,Gorebyss,,0,,,,,,,,,
1171,Growlithe,,58,♂,999,114,13,5,9,60.0,31.0,31.0,,,,"2020-07-25 19:26","2020-07-25 19:26",7/25/2020,,,0,0,1,0,63.69%,1488,86.01%,140000,174,Growlithe,,0,63.69%,1488,86.01%,140000,174,Growlithe,,0,,,,,,,,,
1172,Growlithe,,58,♀,1059,119,13,7,14,75.6,33.0,33.0,,,,"2020-07-25 19:26","2020-07-25 19:26",7/25/2020,,,0,0,1,0,87.77%,502,90.65%,116000,150,Growlithe,,0,87.77%,502,90.65%,116000,150,Growlithe,,0,,,,,,,,,
1173,Magmar,,126,♂,2052,126,12,12,6,66.7,33.0,33.0,Ember,Fire Punch,,"2020-07-25 19:26","2020-07-25 19:26",7/25/2020,,,0,0,0,0,,,,,,,,,80.54%,798,92.05%,116000,150,Magmar,,0,,,,,,,,,
1174,Magmar,,126,♀,1732,122,5,10,14,64.4,27.0,27.0,Karate Chop,Fire Punch,,"2020-07-25 19:26","2020-07-25 19:26",7/25/2020,,,0,0,0,0,,,,,,,,,96.41%,148,98.20%,23000,120,Magmortar,,0,,,,,,,,,
1175,Magmar,,126,♂,2164,133,13,12,12,82.2,35.0,35.0,Karate Chop,Fire Punch,,"2020-07-25 19:25","2020-07-25 19:25",7/25/2020,,,0,0,0,0,,,,,,,,,96.70%,136,95.95%,88000,118,Magmar,,0,,,,,,,,,
1176,Roselia,,315,♀,1349,102,10,8,10,62.2,27.0,27.0,,,,"2020-07-25 19:25","2020-07-25 19:25",7/25/2020,,,0,0,4,0,60.66%,1612,95.58%,28000,24,Roselia,,0,,,,,,,,,,,,,,,,,G
1177,Clefairy,,35,♀,603,115,2,0,12,31.1,22.0,22.0,,,,"2020-07-25 19:25","2020-07-25 19:25",7/25/2020,,,0,0,1,0,65.08%,1431,95.60%,13000,62,Clefable,,0,11.09%,3642,84.42%,214000,288,Clefable,,0,,,,,,,,,
1178,Mudkip,,258,♂,215,56,2,2,13,37.8,8.0,8.0,,,,"2020-07-23 06:56","2020-07-23 06:56",7/23/2020,,,0,1,1,0,74.75%,1035,96.32%,105600,136,Marshtomp,,2,73.99%,1066,97.07%,79500,193,Swampert,,2,68.38%,1296,93.87%,35050,54,Mudkip,,1,
1179,Gengar,,94,♀,1495,97,8,12,12,71.1,19.0,19.0,Sucker Punch,Shadow Punch,,"2020-07-23 06:52","2020-07-19 18:56",7/19/2020,,,0,0,5,0,95.58%,182,97.79%,0,0,Gengar,Normal,0,,,,,,,,,,,,,,,,,G
1180,Gastly,,92,♂,651,66,12,15,13,88.9,19.0,19.0,,,,"2020-07-23 06:52","2020-07-19 18:56",7/19/2020,,,0,0,4,0,66.69%,1365,95.45%,52000,71,Haunter,,0,,,,,,,,,,,,,,,,,G
1181,Gastly,,92,♂,588,62,13,10,8,68.9,18.0,18.0,,,,"2020-07-23 06:52","2020-07-19 18:56",7/19/2020,,,0,0,2,0,59.41%,1663,95.33%,4400,129,Gengar,Normal,0,,,,,,,,,,,,,,,,,G
1182,Gastly,,92,♂,916,81,12,7,14,73.3,28.0,28.0,,,,"2020-07-23 06:52","2020-07-19 18:56",7/19/2020,,,0,0,2,0,64.35%,1461,95.36%,0,25,Haunter,,0,,,,,,,,,,,,,,,,,G
1183,Gastly,,92,♂,872,81,6,9,15,66.7,27.0,27.0,,,,"2020-07-23 06:52","2020-07-19 18:57",7/19/2020,,,0,0,4,0,93.21%,279,97.20%,13500,37,Haunter,,0,,,,,,,,,,,,,,,,,G
1184,Heatmor,,631,♀,1353,126,13,15,14,93.3,20.0,20.0,,,,"2020-07-23 06:49","2020-07-23 06:49",7/22/2020,,,0,0,0,0,69.08%,1267,95.95%,11000,10,Heatmor,,0,99.73%,12,98.50%,225000,248,Heatmor,,0,,,,,,,,,
1185,Eevee,,133,♂,518,89,5,14,8,60.0,19.0,19.0,,,,"2020-07-23 06:49","2020-07-23 06:49",7/22/2020,,,0,0,5,0,93.26%,277,97.47%,0,25,Leafeon,,0,,,,,,,,,,,,,,,,,G
1186,Gligar,,207,♀,392,63,11,11,5,60.0,8.0,8.0,,,,"2020-07-23 06:49","2020-07-23 06:49",7/22/2020,,,0,1,4,0,10.94%,3648,92.59%,35600,35,Gligar,,2,54.95%,1846,95.13%,129200,233,Gliscor,,2,61.88%,1562,92.77%,4322,8,Gligar,,1,
1187,Clamperl,,366,♀,411,56,15,3,11,64.4,12.0,12.0,,,,"2020-07-23 06:48","2020-07-23 06:48",7/22/2020,,,0,0,0,0,48.57%,2107,94.40%,41400,92,Gorebyss,,0,78.17%,895,91.60%,255400,330,Gorebyss,,0,39.00%,2499,91.81%,7400,10,Clamperl,,0,
1188,Krabby,,98,♂,697,63,2,12,14,62.2,17.0,17.0,,,,"2020-07-23 06:48","2020-07-23 06:48",7/22/2020,,,0,0,2,0,93.58%,264,97.79%,11300,60,Kingler,,0,,,,,,,,,,,,,,,,,G
1189,Slakoth,,287,♀,663,114,8,5,13,57.8,26.0,26.0,,,,"2020-07-23 06:48","2020-07-22 21:37",7/22/2020,,,0,0,0,0,35.75%,2632,94.20%,21500,45,Vigoroth,,0,61.66%,1571,88.87%,186000,239,Vigoroth,,0,,,,,,,,,
1190,Krabby,,98,♂,739,61,11,8,7,57.8,18.0,18.0,,,,"2020-07-23 06:48","2020-07-23 06:48",7/22/2020,,,0,0,2,0,46.94%,2174,95.09%,6900,56,Kingler,,0,27.57%,2967,95.11%,154400,198,Kingler,,0,,,,,,,,,
1191,Slakoth,,287,♀,579,103,8,6,7,46.7,23.0,23.0,,,,"2020-07-23 06:48","2020-07-23 06:48",7/22/2020,,,0,0,1,0,40.68%,2430,94.48%,48000,67,Vigoroth,,0,41.83%,2383,86.66%,208000,257,Vigoroth,,0,,,,,,,,,
1192,Krabby,,98,♂,1036,72,7,8,5,44.4,26.0,26.0,,,,"2020-07-23 06:47","2020-07-23 06:47",7/22/2020,,,0,0,0,0,37.24%,2571,86.71%,186000,214,Krabby,,0,43.35%,2321,95.74%,130000,186,Kingler,,0,,,,,,,,,
1193,Hippopotas,,449,♂,956,120,8,12,5,55.6,27.0,27.0,,,,"2020-07-23 06:47","2020-07-23 06:47",7/22/2020,,,0,0,1,0,66.86%,1358,87.70%,178000,206,Hippopotas,,0,57.36%,1747,96.40%,28000,74,Hippowdon,,0,,,,,,,,,
1194,Drilbur,,529,♀,518,81,14,8,9,68.9,14.0,14.0,,,,"2020-07-23 06:47","2020-07-21 22:16",7/21/2020,,,0,0,1,0,17.39%,3384,93.23%,8900,60,Excadrill,,0,,,,,,,,,,,,,,,,,G
1195,Slakoth,,287,♂,391,80,15,15,7,82.2,14.0,14.0,,,,"2020-07-23 06:47","2020-07-23 06:47",7/21/2020,,,0,0,0,0,26.28%,3020,93.67%,71600,91,Vigoroth,,0,77.36%,928,96.83%,24600,149,Slaking,,0,13.16%,3557,89.22%,13000,14,Slakoth,,0,
1196,Eevee,,133,♂,893,116,13,14,13,88.9,30.0,30.0,,,,"2020-07-23 06:47","2020-07-23 06:47",7/21/2020,,,0,0,0,0,98.71%,54,96.02%,150000,182,Eevee,,0,74.41%,1049,96.47%,16000,39,Jolteon,,0,,,,,,,,,
1197,Krabby,,98,♀,660,56,11,13,4,62.2,16.0,16.0,,,,"2020-07-23 06:47","2020-07-23 06:47",7/21/2020,,,0,0,0,0,55.09%,1840,95.44%,15100,64,Kingler,,0,29.72%,2879,95.21%,154600,196,Kingler,,0,,,,,,,,,
1198,Shelmet,,616,♀,463,87,14,15,10,86.7,20.0,20.0,,,,"2020-07-23 06:47","2020-07-23 06:47",7/21/2020,,,0,0,0,0,30.67%,2840,94.05%,8000,207,Accelgor,,0,98.88%,47,97.12%,225000,448,Accelgor,,0,39.32%,2486,90.73%,8000,7,Shelmet,,0,
1199,Krabby,,98,♂,1284,81,15,11,9,77.8,30.0,30.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/21/2020,,,0,0,1,0,89.91%,414,95.75%,150000,182,Krabby,,0,28.64%,2923,95.16%,41000,90,Kingler,,0,,,,,,,,,
1200,Slakoth,,287,♀,217,63,13,11,15,86.7,8.0,8.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/21/2020,,,0,0,2,0,87.52%,512,96.54%,8200,135,Slaking,,0,76.34%,970,96.79%,38600,167,Slaking,,0,57.29%,1750,92.64%,29200,34,Slakoth,,0,
1201,Darumaka,Galarian,554,♀,793,111,12,11,15,84.4,20.0,20.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/21/2020,,,0,0,0,0,95.70%,177,94.32%,225000,248,Darumaka,Galarian,0,26.57%,3008,95.07%,60500,104,Darmanitan,Galarian,0,,,,,,,,,
1202,Slakoth,,287,♂,495,96,7,13,10,66.7,19.0,19.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/21/2020,,,0,0,0,0,88.72%,463,97.26%,65500,83,Vigoroth,,0,91.87%,334,97.79%,7500,131,Slaking,,0,81.44%,761,94.58%,0,0,Slakoth,,0,
1203,Budew,,406,♀,460,78,11,13,11,77.8,20.0,20.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/21/2020,,,0,0,0,0,54.70%,1856,95.31%,65000,83,Roselia,,0,47.64%,2145,96.12%,80000,195,Roserade,,0,52.84%,1932,91.98%,8000,7,Budew,,0,
1204,Krabby,,98,♂,1107,73,6,11,2,42.2,28.0,28.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/20/2020,,,0,0,0,0,33.31%,2732,86.11%,169000,198,Krabby,,0,47.91%,2134,95.90%,122000,182,Kingler,,0,,,,,,,,,
1205,Petilil,,548,♀,428,71,14,13,11,84.4,15.0,15.0,,,,"2020-07-23 06:46","2020-07-20 23:48",7/20/2020,,,0,0,0,0,82.91%,701,96.21%,26400,74,Lilligant,,0,,,,,,,,,,,,,,,,,G
1206,Krabby,,98,♀,1162,80,2,4,8,31.1,30.0,30.0,,,,"2020-07-23 06:46","2020-07-23 06:46",7/20/2020,,,0,0,0,0,19.29%,3306,83.79%,150000,182,Krabby,,0,77.75%,912,97.10%,121000,190,Kingler,,0,,,,,,,,,
