r,c href,c src,l,l href,c,c 2,c 3,c 4,c 5,c 6,
367,https://bulbapedia.bulbagarden.net/wiki/Huntail_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/39/GO367.png/48px-GO367.png,Huntail,https://bulbapedia.bulbagarden.net/wiki/Huntail_(Pok%C3%A9mon),146,197,179,5148398,2340,2645,
368,https://bulbapedia.bulbagarden.net/wiki/Gorebyss_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4f/GO368.png/48px-GO368.png,Gorebyss,https://bulbapedia.bulbagarden.net/wiki/Gorebyss_(Pok%C3%A9mon),146,211,179,5514274,2494,2820,
369,https://bulbapedia.bulbagarden.net/wiki/Relicanth_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5f/GO369.png/48px-GO369.png,Relicanth,https://bulbapedia.bulbagarden.net/wiki/Relicanth_(Pok%C3%A9mon),225,162,203,7399350,2528,2858,
370,https://bulbapedia.bulbagarden.net/wiki/Luvdisc_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/69/GO370.png/48px-GO370.png,Luvdisc,https://bulbapedia.bulbagarden.net/wiki/Luvdisc_(Pok%C3%A9mon),125,81,128,1296000,848,959,
371,https://bulbapedia.bulbagarden.net/wiki/Bagon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6b/GO371.png/48px-GO371.png,Bagon,https://bulbapedia.bulbagarden.net/wiki/Bagon_(Pok%C3%A9mon),128,134,93,1595136,1156,1307,
372,https://bulbapedia.bulbagarden.net/wiki/Shelgon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f0/GO372.png/48px-GO372.png,Shelgon,https://bulbapedia.bulbagarden.net/wiki/Shelgon_(Pok%C3%A9mon),163,172,155,4345580,2031,2296,
373,https://bulbapedia.bulbagarden.net/wiki/Salamence_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/69/GO373.png/48px-GO373.png,Salamence,https://bulbapedia.bulbagarden.net/wiki/Salamence_(Pok%C3%A9mon),216,277,168,10051776,3749,4239,
374,https://bulbapedia.bulbagarden.net/wiki/Beldum_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5e/GO374.png/48px-GO374.png,Beldum,https://bulbapedia.bulbagarden.net/wiki/Beldum_(Pok%C3%A9mon),120,96,132,1520640,976,1104,
375,https://bulbapedia.bulbagarden.net/wiki/Metang_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/59/GO375.png/48px-GO375.png,Metang,https://bulbapedia.bulbagarden.net/wiki/Metang_(Pok%C3%A9mon),155,138,176,3764640,1721,1946,
376,https://bulbapedia.bulbagarden.net/wiki/Metagross_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5a/GO376.png/48px-GO376.png,Metagross,https://bulbapedia.bulbagarden.net/wiki/Metagross_(Pok%C3%A9mon),190,257,228,11133240,3791,4286,
377,https://bulbapedia.bulbagarden.net/wiki/Regirock_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/20/GO377.png/48px-GO377.png,Regirock,https://bulbapedia.bulbagarden.net/wiki/Regirock_(Pok%C3%A9mon),190,179,309,10509090,3122,3530,
378,https://bulbapedia.bulbagarden.net/wiki/Regice_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/24/GO378.png/48px-GO378.png,Regice,https://bulbapedia.bulbagarden.net/wiki/Regice_(Pok%C3%A9mon),190,179,309,10509090,3122,3530,
379,https://bulbapedia.bulbagarden.net/wiki/Registeel_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/7e/GO379.png/48px-GO379.png,Registeel,https://bulbapedia.bulbagarden.net/wiki/Registeel_(Pok%C3%A9mon),190,143,285,7743450,2447,2766,
380,https://bulbapedia.bulbagarden.net/wiki/Latias_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a5/GO380.png/48px-GO380.png,Latias,https://bulbapedia.bulbagarden.net/wiki/Latias_(Pok%C3%A9mon),190,228,246,10656720,3510,3968,
381,https://bulbapedia.bulbagarden.net/wiki/Latios_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1f/GO381.png/48px-GO381.png,Latios,https://bulbapedia.bulbagarden.net/wiki/Latios_(Pok%C3%A9mon),190,268,212,10795040,3812,4310,
382,https://bulbapedia.bulbagarden.net/wiki/Kyogre_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/57/GO382.png/48px-GO382.png,Kyogre,https://bulbapedia.bulbagarden.net/wiki/Kyogre_(Pok%C3%A9mon),205,270,228,12619800,4115,4652,
383,https://bulbapedia.bulbagarden.net/wiki/Groudon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/37/GO383.png/48px-GO383.png,Groudon,https://bulbapedia.bulbagarden.net/wiki/Groudon_(Pok%C3%A9mon),205,270,228,12619800,4115,4652,
384,https://bulbapedia.bulbagarden.net/wiki/Rayquaza_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4a/GO384.png/48px-GO384.png,Rayquaza,https://bulbapedia.bulbagarden.net/wiki/Rayquaza_(Pok%C3%A9mon),213,284,170,10283640,3835,4336,
385,https://bulbapedia.bulbagarden.net/wiki/Jirachi_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/27/GO385.png/48px-GO385.png,Jirachi,https://bulbapedia.bulbagarden.net/wiki/Jirachi_(Pok%C3%A9mon),225,210,210,9922500,3265,3691,
386,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/3d/GO386.png/48px-GO386.png,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),137,345,115,5435475,3160,3573,
386A,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/77/GO386A.png/48px-GO386A.png,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),137,414,46,2609028,2580,2916,
386D,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/8d/GO386D.png/48px-GO386D.png,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),137,144,330,6510240,2274,2570,
386S,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c6/GO386S.png/48px-GO386S.png,Deoxys,https://bulbapedia.bulbagarden.net/wiki/Deoxys_(Pok%C3%A9mon),137,230,218,6869180,2879,3255,
387,https://bulbapedia.bulbagarden.net/wiki/Turtwig_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/57/GO387.png/48px-GO387.png,Turtwig,https://bulbapedia.bulbagarden.net/wiki/Turtwig_(Pok%C3%A9mon),146,119,110,1911140,1187,1342,
388,https://bulbapedia.bulbagarden.net/wiki/Grotle_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/93/GO388.png/48px-GO388.png,Grotle,https://bulbapedia.bulbagarden.net/wiki/Grotle_(Pok%C3%A9mon),181,157,143,4063631,1890,2137,
389,https://bulbapedia.bulbagarden.net/wiki/Torterra_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/58/GO389.png/48px-GO389.png,Torterra,https://bulbapedia.bulbagarden.net/wiki/Torterra_(Pok%C3%A9mon),216,202,188,8202816,2934,3318,
390,https://bulbapedia.bulbagarden.net/wiki/Chimchar_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/6/6a/GO390.png/48px-GO390.png,Chimchar,https://bulbapedia.bulbagarden.net/wiki/Chimchar_(Pok%C3%A9mon),127,113,86,1234186,957,1082,
391,https://bulbapedia.bulbagarden.net/wiki/Monferno_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0e/GO391.png/48px-GO391.png,Monferno,https://bulbapedia.bulbagarden.net/wiki/Monferno_(Pok%C3%A9mon),162,158,105,2687580,1574,1780,
392,https://bulbapedia.bulbagarden.net/wiki/Infernape_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c4/GO392.png/48px-GO392.png,Infernape,https://bulbapedia.bulbagarden.net/wiki/Infernape_(Pok%C3%A9mon),183,222,151,6134526,2683,3033,
393,https://bulbapedia.bulbagarden.net/wiki/Piplup_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/99/GO393.png/48px-GO393.png,Piplup,https://bulbapedia.bulbagarden.net/wiki/Piplup_(Pok%C3%A9mon),142,112,102,1622208,1075,1215,
394,https://bulbapedia.bulbagarden.net/wiki/Prinplup_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/cb/GO394.png/48px-GO394.png,Prinplup,https://bulbapedia.bulbagarden.net/wiki/Prinplup_(Pok%C3%A9mon),162,150,139,3377700,1701,1923,
395,https://bulbapedia.bulbagarden.net/wiki/Empoleon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/35/GO395.png/48px-GO395.png,Empoleon,https://bulbapedia.bulbagarden.net/wiki/Empoleon_(Pok%C3%A9mon),197,210,186,7694820,2900,3279,
396,https://bulbapedia.bulbagarden.net/wiki/Starly_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e7/GO396.png/48px-GO396.png,Starly,https://bulbapedia.bulbagarden.net/wiki/Starly_(Pok%C3%A9mon),120,101,58,702960,719,813,
397,https://bulbapedia.bulbagarden.net/wiki/Staravia_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/8f/GO397.png/48px-GO397.png,Staravia,https://bulbapedia.bulbagarden.net/wiki/Staravia_(Pok%C3%A9mon),146,142,94,1948808,1299,1468,
398,https://bulbapedia.bulbagarden.net/wiki/Staraptor_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/4/4c/GO398.png/48px-GO398.png,Staraptor,https://bulbapedia.bulbagarden.net/wiki/Staraptor_(Pok%C3%A9mon),198,234,140,6486480,2825,3194,
399,https://bulbapedia.bulbagarden.net/wiki/Bidoof_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/77/GO399.png/48px-GO399.png,Bidoof,https://bulbapedia.bulbagarden.net/wiki/Bidoof_(Pok%C3%A9mon),153,80,73,893520,721,815,
400,https://bulbapedia.bulbagarden.net/wiki/Bibarel_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e3/GO400.png/48px-GO400.png,Bibarel,https://bulbapedia.bulbagarden.net/wiki/Bibarel_(Pok%C3%A9mon),188,162,119,3624264,1823,2061,
401,https://bulbapedia.bulbagarden.net/wiki/Kricketot_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b4/GO401.png/48px-GO401.png,Kricketot,https://bulbapedia.bulbagarden.net/wiki/Kricketot_(Pok%C3%A9mon),114,45,74,379620,401,453,
402,https://bulbapedia.bulbagarden.net/wiki/Kricketune_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/b0/GO402.png/48px-GO402.png,Kricketune,https://bulbapedia.bulbagarden.net/wiki/Kricketune_(Pok%C3%A9mon),184,160,100,2944000,1653,1869,
403,https://bulbapedia.bulbagarden.net/wiki/Shinx_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/34/GO403.png/48px-GO403.png,Shinx,https://bulbapedia.bulbagarden.net/wiki/Shinx_(Pok%C3%A9mon),128,117,64,958464,876,990,
404,https://bulbapedia.bulbagarden.net/wiki/Luxio_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e0/GO404.png/48px-GO404.png,Luxio,https://bulbapedia.bulbagarden.net/wiki/Luxio_(Pok%C3%A9mon),155,159,95,2341275,1486,1680,
405,https://bulbapedia.bulbagarden.net/wiki/Luxray_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e3/GO405.png/48px-GO405.png,Luxray,https://bulbapedia.bulbagarden.net/wiki/Luxray_(Pok%C3%A9mon),190,232,156,6876480,2888,3265,
406,https://bulbapedia.bulbagarden.net/wiki/Budew_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/88/GO406.png/48px-GO406.png,Budew,https://bulbapedia.bulbagarden.net/wiki/Budew_(Pok%C3%A9mon),120,91,109,1190280,856,968,
407,https://bulbapedia.bulbagarden.net/wiki/Roserade_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/8e/GO407.png/48px-GO407.png,Roserade,https://bulbapedia.bulbagarden.net/wiki/Roserade_(Pok%C3%A9mon),155,243,185,6968025,2971,3359,
408,https://bulbapedia.bulbagarden.net/wiki/Cranidos_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/2b/GO408.png/48px-GO408.png,Cranidos,https://bulbapedia.bulbagarden.net/wiki/Cranidos_(Pok%C3%A9mon),167,218,71,2584826,1820,2058,
409,https://bulbapedia.bulbagarden.net/wiki/Rampardos_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/ce/GO409.png/48px-GO409.png,Rampardos,https://bulbapedia.bulbagarden.net/wiki/Rampardos_(Pok%C3%A9mon),219,295,109,7041945,3298,3728,
410,https://bulbapedia.bulbagarden.net/wiki/Shieldon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/04/GO410.png/48px-GO410.png,Shieldon,https://bulbapedia.bulbagarden.net/wiki/Shieldon_(Pok%C3%A9mon),102,76,195,1511640,890,1007,
411,https://bulbapedia.bulbagarden.net/wiki/Bastiodon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/72/GO411.png/48px-GO411.png,Bastiodon,https://bulbapedia.bulbagarden.net/wiki/Bastiodon_(Pok%C3%A9mon),155,94,286,4167020,1539,1741,
412,https://bulbapedia.bulbagarden.net/wiki/Burmy_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5f/GO412.png/48px-GO412.png,Burmy,https://bulbapedia.bulbagarden.net/wiki/Burmy_(Pok%C3%A9mon),120,53,83,527880,488,552,
413,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e0/GO413.png/48px-GO413.png,Wormadam,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon),155,141,180,3933900,1773,2005,
413G,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/84/GO413G.png/48px-GO413G.png,Wormadam,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon),155,141,180,3933900,1773,2005,
413S,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/3e/GO413S.png/48px-GO413S.png,Wormadam,https://bulbapedia.bulbagarden.net/wiki/Wormadam_(Pok%C3%A9mon),155,127,175,3444875,1593,1802,
414,https://bulbapedia.bulbagarden.net/wiki/Mothim_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/b/bb/GO414.png/48px-GO414.png,Mothim,https://bulbapedia.bulbagarden.net/wiki/Mothim_(Pok%C3%A9mon),172,185,98,3118360,1815,2052,
415,https://bulbapedia.bulbagarden.net/wiki/Combee_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d6/GO415.png/48px-GO415.png,Combee,https://bulbapedia.bulbagarden.net/wiki/Combee_(Pok%C3%A9mon),102,59,83,499494,494,559,
416,https://bulbapedia.bulbagarden.net/wiki/Vespiquen_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/5/5c/GO416.png/48px-GO416.png,Vespiquen,https://bulbapedia.bulbagarden.net/wiki/Vespiquen_(Pok%C3%A9mon),172,149,190,4869320,2005,2267,
417,https://bulbapedia.bulbagarden.net/wiki/Pachirisu_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/0b/GO417.png/48px-GO417.png,Pachirisu,https://bulbapedia.bulbagarden.net/wiki/Pachirisu_(Pok%C3%A9mon),155,94,172,2506040,1213,1372,
418,https://bulbapedia.bulbagarden.net/wiki/Buizel_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f9/GO418.png/48px-GO418.png,Buizel,https://bulbapedia.bulbagarden.net/wiki/Buizel_(Pok%C3%A9mon),146,132,67,1291224,1054,1192,
419,https://bulbapedia.bulbagarden.net/wiki/Floatzel_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/8c/GO419.png/48px-GO419.png,Floatzel,https://bulbapedia.bulbagarden.net/wiki/Floatzel_(Pok%C3%A9mon),198,221,114,4988412,2443,2762,
420,https://bulbapedia.bulbagarden.net/wiki/Cherubi_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/94/GO420.png/48px-GO420.png,Cherubi,https://bulbapedia.bulbagarden.net/wiki/Cherubi_(Pok%C3%A9mon),128,108,92,1271808,950,1074,
421,https://bulbapedia.bulbagarden.net/wiki/Cherrim_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/74/GO421.png/48px-GO421.png,Cherrim,https://bulbapedia.bulbagarden.net/wiki/Cherrim_(Pok%C3%A9mon),172,170,153,4473720,2048,2315,
421S,https://bulbapedia.bulbagarden.net/wiki/Cherrim_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/83/GO421S.png/48px-GO421S.png,Cherrim,https://bulbapedia.bulbagarden.net/wiki/Cherrim_(Pok%C3%A9mon),172,170,153,4473720,2048,2315,
422,https://bulbapedia.bulbagarden.net/wiki/Shellos_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1d/GO422.png/48px-GO422.png,Shellos,https://bulbapedia.bulbagarden.net/wiki/Shellos_(Pok%C3%A9mon),183,103,105,1979145,1136,1284,
422E,https://bulbapedia.bulbagarden.net/wiki/Shellos_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/90/GO422E.png/48px-GO422E.png,Shellos,https://bulbapedia.bulbagarden.net/wiki/Shellos_(Pok%C3%A9mon),183,103,105,1979145,1136,1284,
423,https://bulbapedia.bulbagarden.net/wiki/Gastrodon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/2/29/GO423.png/48px-GO423.png,Gastrodon,https://bulbapedia.bulbagarden.net/wiki/Gastrodon_(Pok%C3%A9mon),244,169,143,5896748,2324,2628,
423E,https://bulbapedia.bulbagarden.net/wiki/Gastrodon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c8/GO423E.png/48px-GO423E.png,Gastrodon,https://bulbapedia.bulbagarden.net/wiki/Gastrodon_(Pok%C3%A9mon),244,169,143,5896748,2324,2628,
424,https://bulbapedia.bulbagarden.net/wiki/Ambipom_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c9/GO424.png/48px-GO424.png,Ambipom,https://bulbapedia.bulbagarden.net/wiki/Ambipom_(Pok%C3%A9mon),181,205,143,5306015,2418,2733,
425,https://bulbapedia.bulbagarden.net/wiki/Drifloon_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/9f/GO425.png/48px-GO425.png,Drifloon,https://bulbapedia.bulbagarden.net/wiki/Drifloon_(Pok%C3%A9mon),207,117,80,1937520,1197,1353,
426,https://bulbapedia.bulbagarden.net/wiki/Drifblim_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/0/00/GO426.png/48px-GO426.png,Drifblim,https://bulbapedia.bulbagarden.net/wiki/Drifblim_(Pok%C3%A9mon),312,180,102,5728320,2382,2693,
427,https://bulbapedia.bulbagarden.net/wiki/Buneary_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/7/72/GO427.png/48px-GO427.png,Buneary,https://bulbapedia.bulbagarden.net/wiki/Buneary_(Pok%C3%A9mon),146,130,105,1992900,1258,1423,
428,https://bulbapedia.bulbagarden.net/wiki/Lopunny_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/ea/GO428.png/48px-GO428.png,Lopunny,https://bulbapedia.bulbagarden.net/wiki/Lopunny_(Pok%C3%A9mon),163,156,194,4933032,2059,2328,
428M,https://bulbapedia.bulbagarden.net/wiki/Lopunny_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/f/f1/GO428M.png/48px-GO428M.png,Lopunny,https://bulbapedia.bulbagarden.net/wiki/Lopunny_(Pok%C3%A9mon),163,282,214,9836724,3745,4234,
429,https://bulbapedia.bulbagarden.net/wiki/Mismagius_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/8/8c/GO429.png/48px-GO429.png,Mismagius,https://bulbapedia.bulbagarden.net/wiki/Mismagius_(Pok%C3%A9mon),155,211,187,6115835,2615,2957,
430,https://bulbapedia.bulbagarden.net/wiki/Honchkrow_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/ee/GO430.png/48px-GO430.png,Honchkrow,https://bulbapedia.bulbagarden.net/wiki/Honchkrow_(Pok%C3%A9mon),225,243,103,5631525,2711,3065,
431,https://bulbapedia.bulbagarden.net/wiki/Glameow_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/ed/GO431.png/48px-GO431.png,Glameow,https://bulbapedia.bulbagarden.net/wiki/Glameow_(Pok%C3%A9mon),135,109,82,1206630,934,1056,
432,https://bulbapedia.bulbagarden.net/wiki/Purugly_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/3/36/GO432.png/48px-GO432.png,Purugly,https://bulbapedia.bulbagarden.net/wiki/Purugly_(Pok%C3%A9mon),174,172,133,3980424,1953,2208,
433,https://bulbapedia.bulbagarden.net/wiki/Chingling_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/e/e7/GO433.png/48px-GO433.png,Chingling,https://bulbapedia.bulbagarden.net/wiki/Chingling_(Pok%C3%A9mon),128,114,94,1371648,1005,1137,
434,https://bulbapedia.bulbagarden.net/wiki/Stunky_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c1/GO434.png/48px-GO434.png,Stunky,https://bulbapedia.bulbagarden.net/wiki/Stunky_(Pok%C3%A9mon),160,121,90,1742400,1151,1301,
435,https://bulbapedia.bulbagarden.net/wiki/Skuntank_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/9/98/GO435.png/48px-GO435.png,Skuntank,https://bulbapedia.bulbagarden.net/wiki/Skuntank_(Pok%C3%A9mon),230,184,132,5586240,2358,2666,
436,https://bulbapedia.bulbagarden.net/wiki/Bronzor_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/a/a1/GO436.png/48px-GO436.png,Bronzor,https://bulbapedia.bulbagarden.net/wiki/Bronzor_(Pok%C3%A9mon),149,43,154,986678,603,681,
437,https://bulbapedia.bulbagarden.net/wiki/Bronzong_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c3/GO437.png/48px-GO437.png,Bronzong,https://bulbapedia.bulbagarden.net/wiki/Bronzong_(Pok%C3%A9mon),167,161,213,5726931,2239,2531,
438,https://bulbapedia.bulbagarden.net/wiki/Bonsly_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/1/1c/GO438.png/48px-GO438.png,Bonsly,https://bulbapedia.bulbagarden.net/wiki/Bonsly_(Pok%C3%A9mon),137,124,133,2259404,1302,1472,
439,https://bulbapedia.bulbagarden.net/wiki/Mime_Jr._(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/c9/GO439.png/48px-GO439.png,Mime Jr.,https://bulbapedia.bulbagarden.net/wiki/Mime_Jr._(Pok%C3%A9mon),85,125,142,1508750,1095,1238,
440,https://bulbapedia.bulbagarden.net/wiki/Happiny_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/c/cc/GO440.png/48px-GO440.png,Happiny,https://bulbapedia.bulbagarden.net/wiki/Happiny_(Pok%C3%A9mon),225,25,77,433125,371,419,
441,https://bulbapedia.bulbagarden.net/wiki/Chatot_(Pok%C3%A9mon)#Pok.C3.A9mon_GO,https://cdn2.bulbagarden.net/upload/thumb/d/d1/GO441.png/48px-GO441.png,Chatot,https://bulbapedia.bulbagarden.net/wiki/Chatot_(Pok%C3%A9mon),183,183,91,3047499,1791,2025,
